НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Новая Музыка 2023 | Слово Пацана Саундтреки;https://vk.com/exclusive_muzic;27895931;5951;15710864;10.80%
MOTOR | Автомобили и ДТП;https://vk.com/motor;159415165;4410;4723521;8.01%
Полный Бак;https://vk.com/bak;39236729;4131;4109440;7.50%
ЁП;https://vk.com/fuck_humor;12382740;3687;10189032;6.69%
Сельское Хозяйство;https://vk.com/selskoye_hozyaystvo;125014448;3549;651528;6.44%
Золотые руки | Строительство и ремонт;https://vk.com/stroi;138863694;3432;3184956;6.23%
Смейся до слёз :D;https://vk.com/ifun;26419239;3405;11594031;6.18%
Наука и Техника;https://vk.com/nayka;103027469;3378;6022401;6.13%
Типичный тракторист;https://vk.com/typical_tractorist;15436065;3371;129786;6.12%
MDK;https://vk.com/mudakoff;57846937;3240;12013534;5.88%
ПРИКОЛЫ | Смеяка;https://vk.com/smeyaka;45441631;3235;11402838;5.87%
ВКонтакте;https://vk.com/vk;22822305;3230;13392813;5.86%
AUTO;https://vk.com/pubauto;23783750;3199;3755971;5.81%
Мужской рай;https://vk.com/fupoff;38290762;3146;4157836;5.71%
Академия Порядочных Парней;https://vk.com/men;45595714;3017;5357121;5.48%
ЯЖЕВОДИТЕЛЬ;https://vk.com/club151016287;151016287;3004;3623278;5.45%
Четкие Приколы;https://vk.com/ilikes;23064236;2938;7146210;5.33%
Наука и Техника;https://vk.com/science_technology;31976785;2885;4033840;5.24%
Дима REDBOOMSTAR - клубная музыка, ремиксы 2023;https://vk.com/musicredboomstar;75464973;2824;96231;5.13%
Леонардо Дайвинчик;https://vk.com/dayvinchik;91050183;2788;15658475;5.06%
Строитель;https://vk.com/club123474518;123474518;2667;2124597;4.84%
Дорожные войны!;https://vk.com/road__wars;49273274;2583;166937;4.69%
Чоткий паца;https://vk.com/chotkiy_paca;50059483;2568;2149062;4.66%
Прораб | Строительство и ремонт;https://vk.com/prorabstroyka;137648145;2520;1844961;4.58%
NЕTFLIХ VK | Новинки кинo 2023 l Слово пацана;https://vk.com/kinom;40553536;2492;5622003;4.52%
Идеи дизайна интерьера;https://vk.com/i_des;36184135;2473;6075735;4.49%
Vine Video;https://vk.com/vinevinevine;57876954;2463;6206166;4.47%
Лайфхак;https://vk.com/lhack;40567146;2460;7887236;4.47%
Идеи для дачи;https://vk.com/aidacha;41002749;2398;2214716;4.35%
Чёткие приколы;https://vk.com/oroom;31836774;2397;5324490;4.35%
21 ВЕК ♔;https://vk.com/mens_gq;32194500;2388;3953406;4.34%
В приколе (18+);https://vk.com/vprikole;17711662;2380;5498226;4.32%
Оружие Человечества;https://vk.com/faktu_taina;77590335;2379;2904432;4.32%
Школа ремонта;https://vk.com/rem_shkola;38379853;2365;3610298;4.29%
Убойный юмор;https://vk.com/fucking_humor;30179569;2364;5344003;4.29%
НЕ ПОВЕРИШЬ!;https://vk.com/ne.poverish;28477986;2350;5819695;4.27%
Direct.Farm | Лаборатория агрономии;https://vk.com/directfarm;172672553;2335;12826;4.24%
ТРАКТОРА;https://vk.com/agro_tractor;71040053;2314;143843;4.20%
Science|Наука;https://vk.com/sci;29559271;2283;4443720;4.14%
БОРЩ;https://vk.com/borsch;460389;2232;7105403;4.05%
Агроном [АгроСайт];https://vk.com/agrosite;59903826;2231;21405;4.05%
ГАРАЖ;https://vk.com/auto.garage;29196806;2228;1901080;4.04%
История Человечества;https://vk.com/incredible0;79483347;2208;4526429;4.01%
Я в шоке!;https://vk.com/ishok;28761941;2191;4802219;3.98%
анекдотов.net;https://vk.com/anekdot;22222333;2177;4538737;3.95%
Сельское хозяйство, АПК | Agrovesti.net;https://vk.com/agrovestnik;99292882;2147;9303;3.90%
Дачник;https://vk.com/club134655935;134655935;2142;1757601;3.89%
Литература | Великие поэты;https://vk.com/poems;38683579;2105;6553206;3.82%
Клубная музыка;https://vk.com/public_of_music;22866546;2071;4681837;3.76%
Я тебя хочу;https://vk.com/iwantyou;43776215;2041;7493965;3.71%
БРАТСТВО ТРАКТОРИСТОВ;https://vk.com/bratcvotraktoristov;28968395;2032;99152;3.69%
Черный юмор;https://vk.com/tophumor;40835481;2028;4834430;3.68%
Ищу модель Ульяновск;https://vk.com/ulyanovsk_ishchu_model;133493478;2023;46461;3.67%
Про Авто;https://vk.com/autoblogvk;31128331;1999;2016166;3.63%
Бизнес Инфо;https://vk.com/probizportal;34168005;1992;1841513;3.62%
Сделано человеком;https://vk.com/sdelanochelovekom;105736223;1922;2576082;3.49%
Азбука ремонта | Строительство;https://vk.com/azbuka.remonta;106277494;1918;1679509;3.48%
Своими руками;https://vk.com/club124764538;124764538;1908;1749627;3.46%
Мужские мысли;https://vk.com/strog_pocan;25397178;1900;2486428;3.45%
Улетные приколы;https://vk.com/humour.page;22741624;1898;5436707;3.45%
PRO Рязань;https://vk.com/pronovosti_rus;167969720;1897;31128;3.44%
Грузовики, автобусы и дальнобой;https://vk.com/trucks112;12082306;1872;24505;3.40%
Пусть говорит Хакасия | Абакан;https://vk.com/pustgovorit19;180791822;1816;50502;3.30%
AgroUA🌽Агроном🌾АГРО🌻Сільське господарство🌿;https://vk.com/ua_agro;91342846;1815;8614;3.30%
Фотографы Санкт-Петербург СПБ;https://vk.com/fotografy_i_modeli_spb;40759868;1811;67238;3.29%
