НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
БУХ.1С;https://vk.com/buhru_official;65259624;4163;41941;10.18%
Бухгалтерия и Бизнес;https://vk.com/buhgalterbesplatno;182382739;3674;23527;8.98%
Веселый главбух;https://vk.com/clubveseliybuh;154682490;3221;19345;7.87%
Журнал «Упрощёнка»;https://vk.com/uproshenka;31228358;3131;33449;7.65%
Профессиональный бухгалтер 1С (Азбуха);https://vk.com/profbuhgalter;38381942;2744;26355;6.71%
Анна Иевлева | Бухгалтерия как бизнес;https://vk.com/annaievlevabuh;50947307;2444;22383;5.98%
Biznesinalogi;https://vk.com/biznesinalogi;189708529;2425;23616;5.93%
Бухгалтерский квартал;https://vk.com/buhkvartal;210900881;2032;15054;4.97%
Контур.Эльба;https://vk.com/e_kontur;15491782;1815;41169;4.44%
Журнал «ЗАРПЛАТА»;https://vk.com/zarplataonline_ru;31234369;1534;19208;3.75%
Клуб кадровиков ClubTK.ru;https://vk.com/clubtk_ru;126508350;1508;39561;3.69%
БУХ_1Совет. Все про 1С и бухгалтерию;https://vk.com/buh_1sovet;211198895;1460;9129;3.57%
Нетипичный бухгалтер;https://vk.com/nbuhgalter;138090024;1419;12194;3.47%
Бухгалтерия | налоги | учет | маркетплейсы;https://vk.com/koshkina_biz;211098132;1350;9634;3.30%
ГК «Астрал» | Бухгалтерия и IT;https://vk.com/gk_astral;30185443;1343;18053;3.28%
Бухгалтерские курсы  - обучение онлайн;https://vk.com/uchetvnarod;110310625;1070;14789;2.62%
БухЭксперт8;https://vk.com/buhexpert8;183307036;1056;5797;2.58%
Финансовая отчётность от А до Я;https://vk.com/fin_report;176745219;1004;7724;2.45%
Высшая школа Главбух;https://vk.com/schoolglavbukh;194663942;996;7960;2.44%
О налогах просто;https://vk.com/o_nalogax_prosto72;211043667;980;7582;2.40%
Российский налоговый курьер;https://vk.com/rnk_ru;31208442;899;9940;2.20%
Весёлый бухгалтер;https://vk.com/vesyolyjbuhgalter;196690357;728;3962;1.78%
Оксана Каверина БухучетI НалогиI Обучение;https://vk.com/upb_nalogi;211058278;696;5138;1.70%
ИПБ России - профессиональные бухгалтеры;https://vk.com/ipb_russia;67580434;549;6382;1.34%
КАДРОВИК;https://vk.com/club_kadrovik;414585;534;15159;1.31%
Курсы бухгалтерского учета online;https://vk.com/buxgalteriya_online;187380411;534;2713;1.31%
Онлайн-академия Наша бухгалтерия;https://vk.com/club178682628;178682628;518;5266;1.27%
ВашКадровик;https://vk.com/club193831925;193831925;485;9306;1.19%
Генеральный Директор;https://vk.com/gd_ru;24429275;448;42959;1.10%
ШКОЛА БУХГАЛТЕРА;https://vk.com/prof.buhgalter;167767055;411;2302;1.00%
Яна Васильева. Эксперт по бухгалтерскому учёту;https://vk.com/club204533888;204533888;406;3819;0.99%
Таксправо - Российский налоговый портал;https://vk.com/taxpravo;95460936;384;27955;0.94%
Высшая школа МИОЦ. Конвертируем знания в опыт!;https://vk.com/mioc_education;137927999;383;3265;0.94%
ЕГАИС Лес;https://vk.com/egaisles_com;192611461;367;16910;0.90%
1C Лайв - Первый Бит. Облако 1С. Аренда 1С;https://vk.com/bit.live;153780260;365;3136;0.89%
Федеральная служба по труду и занятости;https://vk.com/federal_slujba;72147680;361;41951;0.88%
Охрана труда;https://vk.com/testbik;26751260;339;35676;0.83%
Корпорация МСП;https://vk.com/mspcorp;127058105;338;27639;0.83%
Финвер;https://vk.com/public_finver;178885731;333;3368;0.81%
