НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Автолетопись;https://vk.com/autoletopis;63859500;3668;39276;4.43%
Автомоделизм. Союз моделистов. Масштабные модели;https://vk.com/automodelism;100364469;3168;48510;3.82%
RocksMashine.com;https://vk.com/rocksmashine;95014531;2474;40016;2.99%
Soviet Original;https://vk.com/ussrgost;141140884;2282;43757;2.75%
Советский Автопром;https://vk.com/sovietcar;72360203;2127;38594;2.57%
Автомобили на старых фото;https://vk.com/old_foto_cars;133438642;1861;19224;2.25%
забытые.;https://vk.com/lostoldcars;155624371;1858;48386;2.24%
Мужской Алиэкспресс | AliExpress for Man;https://vk.com/powerv8;54086923;1796;21848;2.17%
American Trucks;https://vk.com/us_trucks;39388462;1790;42361;2.16%
Darwin Parts;https://vk.com/darwin_parts;109170578;1751;38789;2.11%
#запрещенка;https://vk.com/lowmeets;75031188;1712;43066;2.07%
Dodge;https://vk.com/dodge_ms;114217524;1695;32376;2.05%
STANCE:NATION;https://vk.com/stancenation_43;102459678;1692;46262;2.04%
Auto World|Мир Авто;https://vk.com/coolauto;66732341;1659;45311;2.00%
Автопризраки;https://vk.com/ghostauto;61902557;1650;29232;1.99%
Classic Cars;https://vk.com/classiccars;32853691;1623;32843;1.96%
Легенды СССР;https://vk.com/auto_legendi_cccp;161327394;1541;49239;1.86%
GERMANY |STANCE| CARS;https://vk.com/germany.stance.cars;41729881;1539;46877;1.86%
Волга - сквозь года и поколения | ГАЗ;https://vk.com/gaz_volga;33983101;1536;36643;1.85%
АВТОКУЛЬТУРА;https://vk.com/autoculture_media;125925074;1528;37561;1.84%
На Стиле По Жизни | АВТО;https://vk.com/thisisourlifestyle;131587568;1504;32858;1.81%
Клуб Любителей Субару;https://vk.com/subaru_lovers1;75679943;1490;38122;1.80%
On Wheels;https://vk.com/onwheeeels;99090343;1486;21292;1.79%
Автомобили СССР;https://vk.com/auto_in_ussr;135297461;1466;40310;1.77%
Типичный Водитель;https://vk.com/imexan;39054058;1450;42467;1.75%
ГАРАЖ | GARAGE;https://vk.com/autogar;74297965;1414;43656;1.71%
Автоохотник;https://vk.com/avtoohotnik;70454782;1413;37516;1.70%
Beautiful Cars;https://vk.com/automotive_public;98800602;1391;21914;1.68%
My Mitsubishi;https://vk.com/ilove_mitsubishi;36652222;1385;44713;1.67%
Философия Волговода v2.0;https://vk.com/filosofiyagaz;120041968;1372;29351;1.66%
CARS VIDEO & GIF;https://vk.com/carsvideoclip;157630902;1351;48878;1.63%
Журнал Грузовик Пресс;https://vk.com/gruzovik.press;78184476;1342;23970;1.62%
Забытый гараж | Forgotten garage;https://vk.com/forgotten_garage;157931177;1323;21920;1.60%
#ПУШКАГОНКА;https://vk.com/nakorche;50936692;1318;39267;1.59%
Волга - часть моей души|GAZ GROUP;https://vk.com/volga_in_my_life;51036248;1318;34590;1.59%
WrongCarsOwners/WCO/Неправильные;https://vk.com/wrongcarsowners;46284965;1314;36307;1.59%
Wreck Yard;https://vk.com/wreck_yard;36992713;1300;19607;1.57%
Работа Каменск-Шахтинский;https://vk.com/club85844062;85844062;1285;49258;1.55%
AutoBan;https://vk.com/autoab;58824366;1265;38252;1.53%
lowgarage;https://vk.com/lowgaragesquad;50749122;1253;48080;1.51%
GOLDEN GAZ™;https://vk.com/goldengaz;46306248;1250;26557;1.51%
Автомобили и Техника СССР и Соц. Стран;https://vk.com/cars_technology_ussr;101323493;1245;25803;1.50%
Suicide Machine;https://vk.com/suicidemachine;59784289;1242;24916;1.50%
★ Классика СССР ☭ Жигули | Москвич | Волга ★;https://vk.com/autoclassica_sssr;35301335;1211;46010;1.46%
Empire Сars;https://vk.com/cars_of_empire;35413207;1209;45896;1.46%
JDM_LIFE;https://vk.com/1jdm_life1;118839812;1183;49108;1.43%
ТЯЖЕЛАЯ ЖИЗНЬ СТАРЫХ ВАГОНОВ;https://vk.com/oldwagon;45706050;1170;36470;1.41%
Круиз;https://vk.com/lowcruise;16599342;1169;33153;1.41%
♠REAL METAL♠ Журнал о Кастом Культуре;https://vk.com/real_metall;3948544;1160;42854;1.40%
PERFECT METAL (ex. LCF);https://vk.com/perfect.metal;29926769;1147;46624;1.38%
Racing & Drift;https://vk.com/racingdrift;38214300;1128;46647;1.36%
Это DRIFT, детка!;https://vk.com/thisisdriftbaby;88547460;1128;41322;1.36%
OLD TRUCKS/СТАРЫЕ ГРУЗОВИКИ;https://vk.com/rusty_old_trucks;125330542;1126;19351;1.36%
Dad's Garage (American classic cars);https://vk.com/dad_s_garage;42708498;1120;14155;1.35%
Грузовики из СССР;https://vk.com/trucker_of_ussr;32835753;1114;30325;1.34%
"Московский автомобильный клубъ ""Бояре""";https://vk.com/boyaremoscow;58451860;1107;41949;1.34%
90s STORY;https://vk.com/90sstories;204391284;1106;45195;1.33%
respect your elders car club;https://vk.com/rye_car_club;100231058;1103;20366;1.33%
Family Оf Japanese Cars;https://vk.com/family_jdm;21671657;1080;43464;1.30%
большие сараи на раме и не только;https://vk.com/sarairama;206436922;1079;43757;1.30%
Красивые диорамы. Миниатюра. Моделизм;https://vk.com/beautiful_dioramas;128332124;1078;39144;1.30%
Американские сучки;https://vk.com/american_bitches_usa;133471151;1078;27881;1.30%
Пазний ИЖ;https://vk.com/pazniyizh;77162030;1074;39820;1.30%
Ретро Авто | Американская Классика;https://vk.com/retro_cars_vintage;200032063;1065;23824;1.29%
Американские грузовики | American Trucks;https://vk.com/american_truck;21773270;1059;20414;1.28%
Объявления забытых авто;https://vk.com/forgotten_car_ads;213065102;1059;45423;1.28%
OldMercedesClub I Mercedes Community;https://vk.com/oldmercedesclub;183340169;1056;19287;1.27%
DANGER DRIVE;https://vk.com/dangerd;12191019;1052;45464;1.27%
Drift_Nation;https://vk.com/drift_nation1;67672244;1043;45321;1.26%
Философия АЗЛК;https://vk.com/azlk.kosmich;85200869;1028;18889;1.24%
Classical Low Cars | CLC;https://vk.com/classicalcars;41340812;1023;30351;1.23%
BOOST UP!;https://vk.com/bst_up;73619026;1019;24699;1.23%
Volkswagen;https://vk.com/germanycars11;78512215;992;45276;1.20%
Retrohub;https://vk.com/retrohub;144402537;991;17409;1.20%
Масштабные модели | Моделизм;https://vk.com/auto_legends;4279738;983;42253;1.19%
NISSAN CLUB | JDM;https://vk.com/nissan_club;114832957;981;44646;1.18%
VW Family;https://vk.com/vw.family;26083558;976;36327;1.18%
ROFLAN AUTO;https://vk.com/roflan_auto;160405245;975;45804;1.18%
Мodel-car.ru Масштабные модели автомобилей;https://vk.com/model_car;53041470;965;17265;1.16%
British Motor Stream;https://vk.com/best_of_british;59320837;965;19989;1.16%
Old American Cars;https://vk.com/old_american_cars_2017;156681916;964;13126;1.16%
ВАЛИМ КРАСИВО;https://vk.com/valimkrasivo;65506498;957;27118;1.15%
Gas Monkey Garage | Быстрые и Громкие;https://vk.com/gas.monkey.garage;57042014;953;17309;1.15%
Dropped Cars;https://vk.com/droppedcars;59550484;947;26976;1.14%
#12.5.1 | Барахолка Корчей;https://vk.com/sidewayspower;78972532;947;17906;1.14%
Forgotten Muscle Car;https://vk.com/forgottenmusclecar;148749943;945;13027;1.14%
Rally History;https://vk.com/rallyhistory;32157993;944;13824;1.14%
Суперкары и концепты;https://vk.com/vlauto;27284047;943;24950;1.14%
AUTO;https://vk.com/retrocars_auto_history;86202933;934;46326;1.13%
BRK;https://vk.com/starspangledcars;100940010;931;22939;1.12%
Палата Вал Канала | ЗМЗ;https://vk.com/valgz;203305911;927;48575;1.12%
Koenigsegg;https://vk.com/koenigsegg_automotive;29945487;926;23159;1.12%
BMW | Mercedes | Audi;https://vk.com/topnemec;49309242;925;42521;1.12%
Эрик Давидович;https://vk.com/eric__davidich;99121421;923;46262;1.11%
Экзотические автомобили;https://vk.com/exotic.auto;39836565;921;36385;1.11%
Необычный транспорт;https://vk.com/unusual_transportation;146803144;920;18499;1.11%
Ретро автомобили мира;https://vk.com/retro_mir;98605756;903;16844;1.09%
