НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Физика для 2.7банов;https://vk.com/ebanphysics;135856652;137;257674;15.01%
Студент Инженер;https://vk.com/studentengineer;33120664;49;110028;5.37%
Типичный математик;https://vk.com/typ_math;47597391;29;124958;3.18%
Физика;https://vk.com/the_physics;35207911;22;135270;2.41%
Математики шутят;https://vk.com/math.humor;61516226;19;76145;2.08%
Важные Статистические Опросы (ВСО);https://vk.com/vso_1;84926122;16;299163;1.75%
Я ЭЛЕКТРОМОНТАЖНИК {электрик, электромонтёр};https://vk.com/yaelektromontaznik;111304451;16;84876;1.75%
Физика ЕГЭ 100БАЛЛОВ;https://vk.com/physics_100;40390872;15;82529;1.64%
Электроник;https://vk.com/electronicmate;74812749;14;66989;1.53%
Среднестатистическая мерзость;https://vk.com/average_abomination1;133040232;14;227886;1.53%
Типичный электрик(18+);https://vk.com/higth_voltage;31026239;13;72496;1.42%
Чудеса инженерной мысли;https://vk.com/techmir;119220096;13;797968;1.42%
Кекмех;https://vk.com/kekmech;154944744;13;440;1.42%
Инженерный Журнал | Engineering Magazine;https://vk.com/engineeringmagazine;55466299;12;47563;1.31%
ТОЭ|Электротехника|Электроника Помощь студентам;https://vk.com/toje_jelektrotehnika_ehlektronik;57566597;12;14567;1.31%
Математика – Просто | Алексей Савватеев;https://vk.com/alexei_savvateev;148115211;12;60432;1.31%
Всратые Авиаконструкторы;https://vk.com/aviamemes;153050613;12;57069;1.31%
ЕГЭ. Математика;https://vk.com/ege_matn;32540140;11;188401;1.20%
Математика ЕГЭ 100БАЛЛОВ;https://vk.com/math_100;40390806;11;149171;1.20%
Центр инженерно-физических расчетов и анализа;https://vk.com/multiphysics;43518900;11;5150;1.20%
Высшая математика – просто и доступно!;https://vk.com/mathprofiru;153273395;11;15427;1.20%
Электротехника ТОЭ. Помощь студентам ОТЦ/ТЭЦ;https://vk.com/elektrotekhnikatoe;188791407;11;3757;1.20%
Космос и Астрономия;https://vk.com/space_astro;38743236;10;155764;1.10%
Физика от Побединского;https://vk.com/physfrompobed;71138395;10;38539;1.10%
Сообщество инженеров;https://vk.com/promchat;12125538;8;60892;0.88%
Физика ЕГЭ 2023 | «ЗНАНИЕ»;https://vk.com/ege_oge_fizika;76061116;8;36925;0.88%
EasyElectronics - электроника для всех;https://vk.com/easy_electronics;89394027;8;16984;0.88%
Механика бизнеса;https://vk.com/mehbiz;92817366;8;289960;0.88%
АСТРОЛОГИЯ ГОРОСКОП ТАРО ЭЗОТЕРИКА ПСИХОЛОГИЯ;https://vk.com/astrotmblr;97345737;8;679744;0.88%
Типичный Электрик;https://vk.com/elektrika68;129274998;8;46428;0.88%
Квантовая физика;https://vk.com/quantpublic;8404416;7;50659;0.77%
ПОМОЩЬ ПО ФИЗИКЕ ОНЛАЙН|РЕШЕНИЕ ЗАДАЧ|ФИЗИКА;https://vk.com/reshaka;21743595;7;58806;0.77%
Занимательная физика;https://vk.com/zfizika;22892606;7;27612;0.77%
ЕГЭ Физика;https://vk.com/ege_phisics;32671508;7;38959;0.77%
Математура: книги издательства МЦНМО;https://vk.com/matematura;109232148;7;19689;0.77%
Олимпиады по физике | АПО;https://vk.com/olymp_physics;159645058;7;11613;0.77%
Бизнес и Предпринимательство;https://vk.com/business_is_business;163099769;7;298909;0.77%
гдз по физике 10 класс перышкин;https://vk.com/gdz_7klass_perishkin;184856829;7;561167;0.77%
Всратые Танкоконструкторы;https://vk.com/panzermeme;191539795;7;25764;0.77%
Галилео | Чудо Инженерии;https://vk.com/galileo2020;197117426;7;838359;0.77%
Инженигеры;https://vk.com/enginiger;36753364;6;24127;0.66%
Инженеры DWG.RU;https://vk.com/dwg_ru;43421139;6;30328;0.66%
РадиоЛоцман - Электроника;https://vk.com/rlocman;67278400;6;10357;0.66%
ЕГЭ — Физика;https://vk.com/exams_phys;75668177;6;9536;0.66%
Околошкольная математика | Борис Трушин;https://vk.com/ege_trushin;106451712;6;42110;0.66%
Электротехника, ТОЭ, техмех;https://vk.com/club107277285;107277285;6;9747;0.66%
СамЭлектрик.ру;https://vk.com/samelectric;109281259;6;17206;0.66%
Основы метафизики | ОМ;https://vk.com/ommems;136464796;6;65185;0.66%
Электрооборудование АББ;https://vk.com/abb_ep;153305448;6;2263;0.66%
Весёлый инженер;https://vk.com/inzhenermashinostroenie;180219808;6;15334;0.66%
Такая себе физика| Помощь в решении задач онлайн;https://vk.com/physyck;182595786;6;48577;0.66%
Deep Sky | Космос & Астрономия;https://vk.com/deep__sky;189248414;6;98604;0.66%
Электрика. Вопросы и ответы;https://vk.com/electricianclub;196748005;6;111000;0.66%
ВЫСШАЯ МАТЕМАТИКА;https://vk.com/club38369918;38369918;5;110028;0.55%
Школа Пифагора ЕГЭ и ОГЭ по математике;https://vk.com/shkolapifagora;40691695;5;179918;0.55%
Высшая математика;https://vk.com/club52509935;52509935;5;68935;0.55%
Мистер Инженер [Наука][Техника];https://vk.com/misterengineer;111859812;5;16547;0.55%
Математические этюды;https://vk.com/etudesru;192547232;5;8818;0.55%
ВЫСШАЯ МАТЕМАТИКА ПОМОЩЬ ОНЛАЙН;https://vk.com/reshenie_zadach_matematika;17536268;4;54005;0.44%
Спортивные статьи | Fitness;https://vk.com/sport_stat;25740422;4;460796;0.44%
ЭЛЕКТРОТЕХНИКА ТОЭ  и учебные материалы.;https://vk.com/club34537119;34537119;4;214;0.44%
Студент-физик;https://vk.com/ph_student;35642103;4;15930;0.44%
Кафедра общей физики и ядерного синтеза;https://vk.com/phns_mpei;50620842;4;273;0.44%
Астрофотография;https://vk.com/astrophotography;59516873;4;107947;0.44%
AliExpress для радиолюбителя и электрика.;https://vk.com/club130562766;130562766;4;26362;0.44%
Катастрофы;https://vk.com/katastrofical;146583047;4;911465;0.44%
Индивидуальный предприниматель;https://vk.com/ipshnik;157453299;4;200256;0.44%
ЭнМИ МЭИ | Энергомашиностроения и механики;https://vk.com/enmi_mpei;220116784;4;396;0.44%
Авторские статьи на военную тематику;https://vk.com/other_weapons;23280004;3;37463;0.33%
Статусы со смыслом;https://vk.com/inbest;23858239;3;1630791;0.33%
Статусы Со Смыслом;https://vk.com/nollls;31485192;3;1274741;0.33%
Кафедра Инженерного менеджмента НИУ «МЭИ»;https://vk.com/mpeimanager;51961222;3;56;0.33%
Подслушано электрички Москвы;https://vk.com/elektrichki_moskva;54174829;3;51530;0.33%
"Учебник ""Астрономия и астрофизика"" Образование";https://vk.com/astronomy_school;56814964;3;12820;0.33%
Репаки от R.G. Механики;https://vk.com/rg.mechanics;58264495;3;135289;0.33%
Математика ЕГЭ 2023 | «ЗНАНИЕ»;https://vk.com/math_znanie;62297929;3;69113;0.33%
Не Наемное Настроение | Бизнес Журнал;https://vk.com/not_hiring;63557556;3;159464;0.33%
Математика и физика с Асхатом Башаровым;https://vk.com/basharov_org;65672124;3;3889;0.33%
