НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Инженеры DWG.RU;https://vk.com/dwg_ru;43421139;486;30326;9.76%
Сообщество инженеров;https://vk.com/promchat;12125538;256;60900;5.14%
Студент Инженер;https://vk.com/studentengineer;33120664;185;110031;3.71%
Инженер-КМ;https://vk.com/engineer_km;143581667;137;8598;2.75%
Инженерный Журнал | Engineering Magazine;https://vk.com/engineeringmagazine;55466299;126;47563;2.53%
Инженерно-строительное дело. Хабаровск;https://vk.com/civil_engineering_khv;155063085;117;10427;2.35%
Чудеса инженерной мысли;https://vk.com/techmir;119220096;111;797960;2.23%
Инженеры будущего;https://vk.com/engineers_of_future;25080275;108;13106;2.17%
АВОК партнерство инженеров;https://vk.com/abok_russia;58980613;95;6011;1.91%
Роскосмос;https://vk.com/roscosmos;30315369;85;636039;1.71%
Весёлый инженер;https://vk.com/inzhenermashinostroenie;180219808;78;15338;1.57%
Молодые инженеры;https://vk.com/club29994;29994;63;1446;1.26%
Галилео | Чудо Инженерии;https://vk.com/galileo2020;197117426;61;838388;1.22%
Инженер-сметчик. Сметное дело простыми словами;https://vk.com/normativby;45577164;54;1034;1.08%
Типичный инженер;https://vk.com/mag_eng;47059010;54;5172;1.08%
Механика бизнеса;https://vk.com/mehbiz;92817366;52;289957;1.04%
Не Наемное Настроение | Бизнес Журнал;https://vk.com/not_hiring;63557556;51;159464;1.02%
Открытый космос;https://vk.com/space_live;47256091;49;462189;0.98%
Заметки инженера-конструктора™;https://vk.com/club70673212;70673212;46;500;0.92%
Мистер Инженер [Наука][Техника];https://vk.com/misterengineer;111859812;46;16546;0.92%
Космос | Наука | Технологии;https://vk.com/scietechspace;99353432;43;548171;0.86%
МОЕ ПРАВО: консультации юристов;https://vk.com/pravo1;16462767;38;485309;0.76%
МОДЕЛИСТ-КОНСТРУКТОР;https://vk.com/mkonstruktor;27849878;38;24491;0.76%
Сам Себе Автомеханик;https://vk.com/ssavto;52671851;37;641429;0.74%
Инженигеры;https://vk.com/enginiger;36753364;36;24160;0.72%
Москва глазами инженера;https://vk.com/moscoweng;65857103;35;24792;0.70%
Записки инженера;https://vk.com/enginotes;155857571;35;2878;0.70%
Физика;https://vk.com/the_physics;35207911;34;135266;0.68%
Инженер человеческих душ;https://vk.com/inzhener4d;100958671;34;173958;0.68%
Строительство стройка строитель стройматериалы;https://vk.com/npozelenopol;46228724;32;20033;0.64%
Стройка | Стройматериалы | Ремонт;https://vk.com/house_building;56042186;29;35377;0.58%
Инженер. Трудно быть богом;https://vk.com/godisengineer;68196042;28;3327;0.56%
Space Room | Космос;https://vk.com/inspaceroom;3855883;27;169416;0.54%
АНГЛИЙСКИЙ ДЛЯ ИНЖЕНЕРОВ! ПЕРЕВОДЫ;https://vk.com/eng4eng;67879585;26;7075;0.52%
Physical Transformation/Физикл;https://vk.com/fiztransform;142816572;26;150149;0.52%
Мотивация◄►Настрой◄►Психология;https://vk.com/motivacya;33104681;25;212731;0.50%
RECONSTRUCTION | Реконструкция;https://vk.com/reconstruction_arch;165824398;25;17215;0.50%
Центр инженерно-физических расчетов и анализа;https://vk.com/multiphysics;43518900;24;5150;0.48%
Космонавт Олег Артемьев;https://vk.com/olegmks;145399996;24;115788;0.48%
Катастрофы;https://vk.com/katastrofical;146583047;24;911456;0.48%
Математика – Просто | Алексей Савватеев;https://vk.com/alexei_savvateev;148115211;24;60469;0.48%
Инженер ПТО | Rimmastroy;https://vk.com/rimmastroy;193873453;24;3257;0.48%
Космонавт;https://vk.com/cosmonaut;32593073;23;122346;0.46%
Космос и Астрономия;https://vk.com/space_astro;38743236;23;155811;0.46%
КонсультантПлюс;https://vk.com/consultantplus.comp;51225076;23;131295;0.46%
Стройка Строитель Строительство Стройматериалы;https://vk.com/strojkamira;51869115;23;90270;0.46%
Инженер вакансии СПб работа в Петербурге;https://vk.com/inzhener_vakansii_spb;143805687;23;1086;0.46%
Сообщество кадастровых инженеров, форум;https://vk.com/zem_kadastr_ru;14941592;22;8318;0.44%
Услуги инженера-конструктора;https://vk.com/konstruktor_mihey;42007544;22;204;0.44%
Тонкая Материя;https://vk.com/tonkaia_materiya;101897656;22;432122;0.44%
Хреновые инженеры;https://vk.com/club115617439;115617439;22;5188;0.44%
Металлоконструкции КМД | Advance Steel | Revit;https://vk.com/advance.steel;135005481;22;1499;0.44%
ГОСТ к чайку. Курсы для инженеров;https://vk.com/ingeneerk;82929782;21;1610;0.42%
STOUT | Инженерная система;https://vk.com/stout_brand;125041778;21;26532;0.42%
Просто Инженер;https://vk.com/1injener_info;37038748;20;3255;0.40%
Петербург глазами инженера;https://vk.com/spbengineer;118033964;20;16156;0.40%
Механик;https://vk.com/iamehanik;171497102;20;254460;0.40%
Главный инженер;https://vk.com/chiefengineers;199891670;20;73996;0.40%
Малая  механизация.;https://vk.com/stroimeshanism;30125380;19;43677;0.38%
Мысли Материализуются;https://vk.com/matteriall;44360037;19;209056;0.38%
Главный Инженер;https://vk.com/glavni;49465956;19;346;0.38%
Водный Инженер - Автоматический полив, автополив;https://vk.com/watering;48119945;18;4099;0.36%
Космонавт Сергей Рязанский;https://vk.com/sergeyiss;101948711;18;94429;0.36%
АТ-СТРОЙГРУПП | Проектирование инженерных сетей;https://vk.com/at_stroygroup;168306011;18;1125;0.36%
Горный Инженер;https://vk.com/miningengineers;63466866;17;22578;0.34%
Инженеров бесит...;https://vk.com/engineerevil;80070010;17;2469;0.34%
А СРО «Кадастровые инженеры»;https://vk.com/asroki;127424527;17;7400;0.34%
Лига Инженеров;https://vk.com/cervicpro;149517345;17;20776;0.34%
LPgenerator — конструктор лендингов для бизнеса;https://vk.com/lpgenerator;27936040;16;23204;0.32%
твоя музыка - твоё настроение;https://vk.com/best_musical1;37247645;16;1050254;0.32%
Советский космос;https://vk.com/kocmoc_cccp;72907762;16;23544;0.32%
"Инженерная компания ""555""";https://vk.com/ik555_spb;174080272;16;7831;0.32%
Ось мира: самопознание, астрология;https://vk.com/osmira;30890356;15;171776;0.30%
ЕГЭ. Математика;https://vk.com/ege_matn;32540140;15;188396;0.30%
ЗЛОЙ КОСМОС / EVIL SPACE;https://vk.com/club66650642;66650642;15;38352;0.30%
Расчеты прочности. Курсы «ЛИРА-САПР». Консалтинг;https://vk.com/lirasapr;50579104;14;467;0.28%
Астрофотография;https://vk.com/astrophotography;59516873;14;107964;0.28%
Deep Sky | Космос & Астрономия;https://vk.com/deep__sky;189248414;14;98640;0.28%
MEKO | Проектирование и монтаж инженерных систем;https://vk.com/mekoengineering;2014314;13;640;0.26%
Квантовая физика;https://vk.com/quantpublic;8404416;13;50655;0.26%
Математика ЕГЭ 100БАЛЛОВ;https://vk.com/math_100;40390806;13;149175;0.26%
Физика ЕГЭ 100БАЛЛОВ;https://vk.com/physics_100;40390872;13;82532;0.26%
Типичный математик;https://vk.com/typ_math;47597391;13;124960;0.26%
Проектирование металлоконструкций;https://vk.com/proektirovanie_metallokonstrukci;58521808;13;128;0.26%
Инжиниринг - Инженерное дело;https://vk.com/enng_ru;74603854;13;2994;0.26%
Эзотерика ★ Гороскоп ★ Астрология;https://vk.com/ezoteric_goroscop;94720577;13;271299;0.26%
АВТОМЕХАНИК ОТ БОГА;https://vk.com/fix_the_car;106937576;13;269696;0.26%
ИНЖЕНЕР с АЛИЭКСПРЕСС;https://vk.com/club174982446;174982446;13;25800;0.26%
Инженер - фриланс биржа проектировщиков;https://vk.com/enginer_ru;212653926;13;976;0.26%
Занимательная физика;https://vk.com/zfizika;22892606;12;27613;0.24%
