НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ
Точка доступа к маркетингу;https://vk.com/bizness_online;40018862;180;206045;15.13%;0.09
Деловая локация | Маркетинг и продажи;https://vk.com/ideasbusiness;36557224;120;265919;10.08%;0.05
Интернет-маркетинг | GeniusMarketing;https://vk.com/geniusmarketing;23808636;94;67883;7.90%;0.14
Русский маркетинг;https://vk.com/badsmm;71471665;85;144983;7.14%;0.06
Маркетинг. Дизайн. Landing Page;https://vk.com/marketing_reklama_smm;52942640;77;33260;6.47%;0.23
Типичный Рекламщик;https://vk.com/typicaladman;36498615;74;22841;6.22%;0.32
Церебро Таргет | продвижение и реклама бизнеса;https://vk.com/cerebro_vk;73662138;74;276792;6.22%;0.03
Бизнес Маркетинг;https://vk.com/reklamamarketing;42328702;71;136982;5.97%;0.05
Маркетинг Реклама Бизнес;https://vk.com/marketing_s;33608666;65;221169;5.46%;0.03
Интернет-маркетинг от Convert Monster;https://vk.com/convert_monster;64667574;65;68279;5.46%;0.10
Маркетинг в интернете;https://vk.com/lid_x;38446278;61;6226;5.13%;0.98
Маркетинговое агентство Mokselle;https://vk.com/moksellegroup;64910477;58;21198;4.87%;0.27
Pepper.Ninja: таргет | SMM | парсер;https://vk.com/pepperninja;79174071;58;117130;4.87%;0.05
Реклама с Yagla, Vitamin.tools и LPgenerator;https://vk.com/multilanding;60072709;55;37641;4.62%;0.15
Отзывы о пабликах и рекламодателях;https://vk.com/publicreview;43157672;51;24930;4.29%;0.20
Русабилити | Маркетинг;https://vk.com/rusability;41299554;45;14849;3.78%;0.30
Стартапы | Маркетинг;https://vk.com/beslife;57135099;44;50708;3.70%;0.09
Маркетинг и продажи: даю удочку, а не рыбу;https://vk.com/marketing_prodazhi;73771577;42;33058;3.53%;0.13
