НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Ozon Business;https://vk.com/ozon_business;204107671;2282;46632;10.30%
Поставщики Wildberries, Ozon, Яндекс и др.;https://vk.com/warketplace;35797506;2000;19208;9.03%
Подслушано маркетплейс форум;https://vk.com/forum_marketplace;52604049;1984;39396;8.96%
Поставщики маркетплейсов;https://vk.com/postavshchiki_marketpleysov;208870455;1436;12395;6.48%
Фулфилмент, упаковка и отгрузка товаров | FULME;https://vk.com/fulme;211080894;1112;7252;5.02%
Работа на маркетплейсах  | Менеджеры | Дизайнеры;https://vk.com/work_marketplace;54404696;914;11603;4.13%
SEO Wildberries - кейсы, статьи, лайфхаки;https://vk.com/seowildberries;210900041;825;3866;3.73%
Поставщики Маркетплейсов - Wildberries, Озон;https://vk.com/postavchikimp;140447494;786;7291;3.55%
Поставщики wildberries;https://vk.com/postavshchik_wildberries;212802666;771;8446;3.48%
Умный seller;https://vk.com/smart.seller;199969667;738;9408;3.33%
myTarget;https://vk.com/mytarget;88423111;686;48645;3.10%
Я ТОТ СЕЛЛЕР;https://vk.com/sellermood;212787819;658;11215;2.97%
MarketGuru.io;https://vk.com/mguru_io;202777673;652;3504;2.94%
Школа «МаркетКлевер»;https://vk.com/markeetcleveer;206586838;648;22049;2.93%
MarketPRO | Реклама и продвижение на OZON и WB;https://vk.com/reklama_na_ozon_rabotaet;211847961;633;5559;2.86%
Подслушано WILDBERRIES Поставщики OZON Продавцы;https://vk.com/podslush_wb;144098575;608;13377;2.75%
MPSellers Club - Клуб поставщиков маркетплейсов;https://vk.com/mpsellers;211016945;587;2685;2.65%
Втаргете;https://vk.com/vtargeteru;182472456;580;29352;2.62%
Реклама с Yagla, Vitamin.tools и LPgenerator;https://vk.com/multilanding;60072709;558;37648;2.52%
Академия TargetHunter;https://vk.com/th.academy;169969757;556;32188;2.51%
Дмитрий Ковпак;https://vk.com/game_china_biz;89023797;546;28325;2.47%
Товарочка;https://vk.com/tovarochka_number_1;110560893;546;43589;2.47%
Продвижение на маркетплейсах | WB OZON;https://vk.com/mpsolutions;10701828;527;3491;2.38%
Что в коробке? | Маркет, Wildberries, Ozon, Али;https://vk.com/chtovkorobkee;212457144;525;3116;2.37%
Пресняков Маркетинг;https://vk.com/smmpavel;167220421;512;30110;2.31%
Товарочка - Товары Оптом - База Поставщиков;https://vk.com/opt_tobiz;182540713;512;34007;2.31%
Поставщики Wildberries;https://vk.com/tovarochkaop;178917600;511;8081;2.31%
ПРО СТРОЧКИ | Женская одежда оптом из Киргизии;https://vk.com/pro_strochki;211873084;484;9563;2.19%
Точка доступа к трафику;https://vk.com/schooloftarget;200468089;436;20364;1.97%
Поставщики Товарочка Оптом Садовод Бизнес;https://vk.com/club162864900;162864900;430;24642;1.94%
ТК ЮЖНЫЕ  ВОРОТА ПОСТАВЩИКИ;https://vk.com/yugnie.vorota;197456099;430;14590;1.94%
BotHunter | Конструктор чат-ботов;https://vk.com/th.bots;187822477;415;17303;1.87%
Академия MINDGROW | Про деньги на маркетплейсах;https://vk.com/mindgrow.academy;195535577;415;8883;1.87%
Селлеры Маркетплейсов Вайлдберриз, Озон, Садовод;https://vk.com/udalenka;27712639;406;13099;1.83%
Черничный паблик;https://vk.com/ilovebanners;121967404;401;45663;1.81%
X10 Academy Игоря Рыбакова;https://vk.com/x10academy;188534500;397;40205;1.79%
Генеральный Директор;https://vk.com/gd_ru;24429275;376;42949;1.70%
Лилия Жаркова| Настройка рекламы| Обучение;https://vk.com/target_i_pr;204135361;376;10670;1.70%
SMM Кейсы;https://vk.com/smm.case;57652708;375;33291;1.69%
SMM СММ Актуальные Вакансии Работа Таргетолог;https://vk.com/smmvakansii;122379724;375;34855;1.69%
TexTerra;https://vk.com/web_texterra;44750488;374;40839;1.69%
ERESH. Цифровой ассистент маркетолога;https://vk.com/ereshtarget;177413523;374;18703;1.69%
Товарочка;https://vk.com/tovarochka_one;55742872;372;44887;1.68%
ЧЕК | Блог Яндекс Маркета для продавцов;https://vk.com/thecheck.media;207738372;369;19932;1.67%
Юниты;https://vk.com/unitsbz;183385281;367;14539;1.66%
Подслушано Бизнес;https://vk.com/podslushano__biznes;189822000;364;46546;1.64%
GetCourse.ru | Геткурс;https://vk.com/getcourseru;118000117;362;26462;1.63%
Фриланс вакансии | Удаленная работа;https://vk.com/freelance.vacancy;167923966;359;31750;1.62%
Дмитрий Румянцев для экспертов;https://vk.com/marketingschool;38363412;352;20271;1.59%
WorkHunter | Биржа таргетологов;https://vk.com/th.work;200632994;349;13428;1.58%
Ozon Seller -Продавайте свои товары на озон;https://vk.com/ozonseller;178805683;348;4797;1.57%
Маркетинг и продажи: даю удочку, а не рыбу;https://vk.com/marketing_prodazhi;73771577;347;33069;1.57%
BotHelp | Рассылки и чат-боты;https://vk.com/bothelpio;132741842;346;21624;1.56%
Яндекс Реклама;https://vk.com/yandex_adv;150593037;345;27789;1.56%
Ozon Team;https://vk.com/ozon_team;210897153;338;11997;1.53%
МаксМаркет для бизнеса;https://vk.com/maxmarketru;131985772;336;10393;1.52%
Академия Удаленных Профессий;https://vk.com/akademia_mp;211017928;336;16171;1.52%
Практика SMM 3.0;https://vk.com/praktikasmm;42386009;334;48419;1.51%
Jonn22 — Товарный бизнес и не только;https://vk.com/jonn22com;75185191;332;23768;1.50%
Уроки фотошоп | Дизайн | Инфографика;https://vk.com/design_cultura;54337486;331;31760;1.49%
Вывод карточек в топ на Wildberries и Ozon;https://vk.com/profiwb;208935533;331;1814;1.49%
amoCRM - Помогаем увеличивать продажи;https://vk.com/amocrm_ru;63068509;330;26699;1.49%
Бухгалтерия | налоги | учет | маркетплейсы;https://vk.com/koshkina_biz;211098132;329;9635;1.49%
Бизнес: изи-изи, рил ток, синк эбаут ит;https://vk.com/boldbro;152668434;325;34162;1.47%
Андрей Кудрин;https://vk.com/kudrinstory;88804018;323;36594;1.46%
Сумасшедший;https://vk.com/hellosales;136630982;323;22310;1.46%
SMM СММ вакансии работа фриланс;https://vk.com/smm.vacancy;157115792;323;32390;1.46%
Товарный бизнес;https://vk.com/armaderu;158105157;323;24871;1.46%
Михаил Снитков. Про бизнес на Wildberries и Ozon;https://vk.com/snitkov_mihail;211696658;320;2521;1.44%
Точка;https://vk.com/banktochka;23770832;317;44287;1.43%
Оскар Хартманн;https://vk.com/oskarhartmann;156649125;316;32283;1.43%
ALITAO | посредник Poizon, Таобао, 1688;https://vk.com/alitao2020;195395994;316;11887;1.43%
Фу Яовен | Бизнес с Китаем;https://vk.com/httpsclck.ru338a8c;211639594;314;5483;1.42%
VK ADS от А до Я;https://vk.com/cerebro_vkads;220029955;308;13463;1.39%
Подслушано  Бизнес;https://vk.com/podslushano_biz;94074350;305;42851;1.38%
Madwins | Маркетинг, SMM продвижение бизнеса;https://vk.com/smm_sell;52303305;304;34328;1.37%
Finder.work: работа для всех;https://vk.com/findervc;161703367;301;28606;1.36%
Nord Fenix. Блог реального магазина Wildberries;https://vk.com/omneex;210067816;301;2049;1.36%
Ищу Фрилансера СММ Таргет Дизайн Работа;https://vk.com/ishysmm;157731480;294;30309;1.33%
ФРИЛАНС;https://vk.com/jobs2;176421828;294;35860;1.33%
Академия Лидогенерации. Официальная группа;https://vk.com/leadmanager;63459623;292;48017;1.32%
Академия торгов по банкротству;https://vk.com/torgi_bankrotov;104202895;281;46426;1.27%
Корпорация МСП;https://vk.com/mspcorp;127058105;279;27638;1.26%
Товарка, Товарочка, Садовод, Опт, Люблино;https://vk.com/tovarka11;104666271;278;22438;1.26%
Figma;https://vk.com/figmadesign;131024445;275;46321;1.24%
Ozon Seller;https://vk.com/ozonsellers;192376697;271;4695;1.22%
Удаленная работа (Фриланс) | Вакансии;https://vk.com/freelancefeed;171812611;269;23869;1.21%
IN-SCALE | агрегатор сервисов;https://vk.com/in_scale;41670248;268;33208;1.21%
Ольга Офицерова: таргет, деньги, smm;https://vk.com/smm_nabroski;75710751;266;19159;1.20%
Товарочка оптовик;https://vk.com/tovarkaoptovik;179030601;265;8350;1.20%
AliExpress Бизнес;https://vk.com/aliexpressforsellers;191230096;264;8876;1.19%
Wikkeo.com | Оптовый маркетплейс;https://vk.com/wikkeo;206202656;261;15098;1.18%
Fenomenata;https://vk.com/bizcaselab;31232679;260;39651;1.17%
Бесплатные PSD шаблоны для социальных сетей;https://vk.com/psdboxru;135042057;260;33069;1.17%
Продвижение на Wildberries. Ozon. Я.Маркет;https://vk.com/provider_marketplace;76344842;259;3072;1.17%
Бизнес на Wildberries с Романом Хоснуллиным;https://vk.com/biznesnaamazon;115706091;255;6199;1.15%
Мария Солодар;https://vk.com/mariyasolodar;141444568;253;21577;1.14%
SMM. Таргетинг;https://vk.com/target_smm;80368614;251;30778;1.13%
Артем Мазур | Деньги из соцсетей;https://vk.com/artemamazur;136532778;250;22740;1.13%
Садовод 9-39 – 1000 Мелочей оптом;https://vk.com/sadovod_tv;181843986;247;45121;1.12%
