НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Строительство, ПГС, Геодезия, маркшейдерия, микр;https://vk.com/geoband;336937;348;12140;12.93%
ГЕОДЕЗИСТ.РУ;https://vk.com/geodesist_ru;47698901;266;22303;9.88%
Горнодобывающая отрасль России I Rosmining.ru;https://vk.com/rosmining;41558432;260;42895;9.66%
ГЕОСТРОЙИЗЫСКАНИЯ - ГСИ;https://vk.com/clubgsi;40226281;196;13154;7.28%
Большое Сообщество Геодезистов и Маркшейдеров;https://vk.com/forum_geodeza;71799664;189;7131;7.02%
BearDyugin;https://vk.com/bear_dyugin;155670031;181;14513;6.73%
Science|Наука;https://vk.com/sci;29559271;169;4443721;6.28%
Наука и Техника;https://vk.com/science_technology;31976785;146;4033838;5.43%
Форум геодезистов;https://vk.com/forum_ustinovfr;120644228;118;7082;4.38%
Геостройресурс;https://vk.com/geosr;47112693;98;3926;3.64%
MOTOR | Автомобили и ДТП;https://vk.com/motor;159415165;98;4723509;3.64%
I'm a GEO;https://vk.com/i_am_geo;165350223;86;3871;3.20%
Мир Discovery;https://vk.com/dis;25117353;85;2007049;3.16%
Геодезическое оборудование | EFT GROUP;https://vk.com/eftgroup;28548484;79;5465;2.94%
DWG ФОРМАТ | ПРОЕКТИРОВАНИЕ;https://vk.com/dwgformat;83998013;77;67812;2.86%
ГЕОГРАФИЯ;https://vk.com/geography_vk;18879883;2738;125132;8.87%
География в опросах;https://vk.com/z_nature;73484869;2644;1033997;8.56%
География ЕГЭ 100БАЛЛОВ;https://vk.com/geography_100;40390702;1997;15103;6.47%
Космос и Астрономия;https://vk.com/space_astro;38743236;2953;155709;12.64%
Космос | Astronomy;https://vk.com/kosmos_and_astronomy;190810650;2921;64141;12.50%
Минералы - Сокровища природы;https://vk.com/jewels_of_nature;73583133;3032;79989;12.98%
Палеонтология и эволюция биосферы;https://vk.com/paleoevol;41524;3612;101147;15.46%
Nature Science;https://vk.com/naturesciencevk;159839157;3446;504893;14.75%
◈МИНЕРАЛЫ◈;https://vk.com/mineral_species;23297475;2045;23354;8.75%
Русское географическое общество;https://vk.com/rgoclub;51232997;2019;210791;8.64%
Микромир;https://vk.com/worldmicro;168679374;1887;241421;8.08%
Смелый Геолог;https://vk.com/courageous_geologist;37316030;1737;44183;7.43%
Ateologia;https://vk.com/ateologia;139315008;1632;184835;6.98%
ЛЕС;https://vk.com/wonderfullforest;139053921;1509;380529;6.46%
О камнях и минералах простыми словами;https://vk.com/club173638834;173638834;1408;18164;6.03%
Геологи;https://vk.com/geologi;129276619;1381;18877;5.91%
