НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Центр НМФО Минздрава России;https://vk.com/centrnmo;161764574;7248;76779;12.06%
Медсестра!;https://vk.com/msestra;64925727;7007;154260;11.66%
НМО Непрерывное медицинское образование тесты;https://vk.com/nmotest;165725497;5657;91351;9.41%
Чумовой доктор;https://vk.com/chumovoydoctor;51431740;5449;531040;9.07%
Подслушано у Медиков;https://vk.com/club160966228;160966228;4988;634600;8.30%
ЗЛОЙ МЕДИК;https://vk.com/zloymedik;43540875;4758;535641;7.92%
Новая Музыка 2023 | Слово Пацана Саундтреки;https://vk.com/exclusive_muzic;27895931;4528;15711012;7.53%
Наше тело [Медицинское сообщество];https://vk.com/ybody;27885374;4507;724549;7.50%
Медицинские сестры России;https://vk.com/club98450320;98450320;4386;47491;7.30%
Сестринское дело. Управление и практика;https://vk.com/sestrinskoe.delo;210271400;4359;33201;7.25%
С нами стыдно, зато весело!;https://vk.com/contact_fun;46466345;4200;4704203;6.99%
Идеи дизайна интерьера;https://vk.com/i_des;36184135;4180;6075772;6.96%
Открытки Поздравления Пожелания С Днем Рождения;https://vk.com/fotomagic_su;28890647;4061;5320131;6.76%
Первый медицинский;https://vk.com/mma_2013;48652426;4054;461251;6.75%
Medicine Live;https://vk.com/medicinelive;47591566;3691;561020;6.14%
НМО | Институт медицинского образования;https://vk.com/institut_medicina;184609107;3576;55478;5.95%
Школа ремонта;https://vk.com/rem_shkola;38379853;3454;3610321;5.75%
Литература | Великие поэты;https://vk.com/poems;38683579;3413;6553263;5.68%
Cook Good - лучшие рецепты;https://vk.com/cook_good;39009769;3377;6537736;5.62%
Просто Вкусно;https://vk.com/prostovkusno_food;46117626;3326;3297742;5.53%
Я же сама архитектор;https://vk.com/club166491431;166491431;3303;2711016;5.50%
Шедевры кулинарии| Вкусные рецепты;https://vk.com/sh.cook;43879004;3227;5849354;5.37%
Минздрав России;https://vk.com/minzdravru;114069515;3179;192034;5.29%
Медицинская библиотека;https://vk.com/med_library;136547353;3154;328896;5.25%
Шпильки | Женский Журнал;https://vk.com/woman.blog;29686754;3071;5002198;5.11%
На все руки;https://vk.com/navseruki;171193480;3052;2480031;5.08%
Учебная медицина;https://vk.com/uchebnayamedicina;108888608;3038;179053;5.06%
Умный Медик;https://vk.com/medic_smart;121816651;3006;391469;5.00%
Психология отношений;https://vk.com/psy.people;40498005;2996;6499640;4.99%
не СТУДЕНТ-МЕДИК [ОФИЦИАЛЬНАЯ СТРАНИЦА];https://vk.com/yamedik;29716377;2995;843497;4.98%
Студент-медик;https://vk.com/studentmedic;45377300;2986;465267;4.97%
Своими руками. Новинки;https://vk.com/srukakami;162413575;2935;2389941;4.88%
Я-медик;https://vk.com/ya_medic;142438839;2932;216083;4.88%
Моя дача;https://vk.com/dacha;165101755;2899;2503570;4.82%
0% жирности;https://vk.com/zerofat;35486195;2872;3968874;4.78%
Zdrav.ru - для руководителей здравоохранения;https://vk.com/zdravru;105191455;2805;20522;4.67%
Простые рецепты;https://vk.com/prostocook;83935640;2791;3685445;4.64%
Интерьер и декор;https://vk.com/vk_interior;90730773;2785;3517237;4.63%
Мое здоровье;https://vk.com/moezdorovieclub;124985100;2760;2372509;4.59%
