НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Наука и Техника;https://vk.com/science_technology;31976785;9359;4033757;12.76%
Оружие Человечества;https://vk.com/faktu_taina;77590335;9049;2904349;12.34%
Наука и Техника;https://vk.com/nayka;103027469;8473;6022272;11.56%
ОРУЖИЕ;https://vk.com/guns_gif;117450516;6755;1509967;9.21%
Арсенал. Интересно об оружии;https://vk.com/top_arsenal;38000555;6429;346790;8.77%
История Человечества;https://vk.com/incredible0;79483347;5878;4526286;8.02%
ВОЕННЫЙ ОБОЗРЕВАТЕЛЬ;https://vk.com/warsonline_military_observer;62474637;5212;132497;7.11%
История|History;https://vk.com/history_0z;53782768;4866;2812569;6.64%
Все об Оружии;https://vk.com/all_of_weapon;31394727;4545;104936;6.20%
Вежливые Люди / Армия / Россия / СВО;https://vk.com/vegchel_ru;79798470;4525;711548;6.17%
Тайны Истории;https://vk.com/history_mystery;58010960;4148;1294814;5.66%
Оружейная;https://vk.com/rus_criminalos;125303834;4056;1925896;5.53%
Hi-Tech | Наука и техника;https://vk.com/tech.science;35809584;3970;1751962;5.41%
Повёрнутые на войне;https://vk.com/voenacher;151878956;3891;212617;5.31%
Военная Техника России и Мира;https://vk.com/mil.tech;117961492;3827;313274;5.22%
Вежливые Люди | Армия России;https://vk.com/vegchel;67359347;3484;470357;4.75%
ТРЕТЬЯ МИРОВАЯ ВОЙНА;https://vk.com/trimv;31371206;3368;360173;4.59%
Бронетехника 20 - 21 века;https://vk.com/btvt2021;310205;3367;52824;4.59%
ВЕЛИКАЯ РОССИЯ - ЭТУ СТРАНУ НЕ ПОБЕДИТЬ!;https://vk.com/rusvmeste;53474;3365;475517;4.59%
Военная история;https://vk.com/history_wwii;79149543;3337;95264;4.55%
Минобороны России;https://vk.com/mil;133441491;3331;780923;4.54%
Digit world - в мире технологий;https://vk.com/ted4you;41525215;3285;1438300;4.48%
Оружие | Армия;https://vk.com/gunofworld;105735159;3256;573584;4.44%
Моменты истории;https://vk.com/histmoments;75115271;3247;1656183;4.43%
Военное обозрение;https://vk.com/topwar;28121566;3198;77036;4.36%
Невероятная история | Исторический журнал;https://vk.com/historylink;89960449;3067;809515;4.18%
РОССИЯ | Армия / Донбасс / ДНР / ЛНР;https://vk.com/rusmotivators;69786071;2994;557924;4.08%
РУССКОЕ ОБОZРЕНИЕ || РОССИЯ || ПУТИН;https://vk.com/pycckoe_no_pyccku;54012242;2912;297600;3.97%
Оружие | Ножи | Спец Защита;https://vk.com/guns1;75354148;2911;227786;3.97%
Армия и Оружие | Война и Солдаты;https://vk.com/voenchel;69793374;2848;125493;3.88%
Военная история мира | MILITARY HISTORY;https://vk.com/armflot;27989623;2659;66167;3.63%
Эта весёлая Россия;https://vk.com/vk.policyhumor;36959483;2633;1062077;3.59%
Третья мировая война;https://vk.com/3mvru;48444376;2557;92206;3.49%
EMPIRE | История Человечества;https://vk.com/empiremag;61134563;2498;732466;3.41%
Военный вестник;https://vk.com/voenvesti;66655871;2420;114383;3.30%
Высокие Технологии | ВысТех;https://vk.com/technology;34300760;2374;536706;3.24%
Бронетехника | Интернет-журнал;https://vk.com/bronetehnika1;45612953;2298;19968;3.13%
MILHISTORY|ВОЕННАЯ ИСТОРИЯ;https://vk.com/milhistory;7463178;2273;83993;3.10%
Война История Политика;https://vk.com/military_politik;140312885;2266;62650;3.09%
Вторая Мировая Война 1939-1945.;https://vk.com/worldwar19391945;9599595;2187;52018;2.98%
Большие Технологии | Наука и Прогресс;https://vk.com/big_tex;103319091;2177;192649;2.97%
Барахолкa военной техники;https://vk.com/tank_baraholka;88992049;2159;75325;2.94%
Барахолка нарезного и гладкоствольного оружия;https://vk.com/weapons_guild;42898100;2149;73165;2.93%
Энциклопедия оружия;https://vk.com/topsguns;122599407;2118;268148;2.89%
Сводки СВО | Армия | Россия;https://vk.com/russ_armij;214241020;2117;581370;2.89%
ЧУДО ТЕХНИКА;https://vk.com/chuudo_tech;139999268;2109;839040;2.88%
Вторая мировая война;https://vk.com/wwiipublic;52678212;2079;44413;2.84%
История в фотографиях;https://vk.com/fotohist;70649883;2062;1010204;2.81%
Славный Воин | История | Оружие;https://vk.com/slavniyvoin;104460400;2011;187007;2.74%
Факты из Истории;https://vk.com/historycal_facts;95385562;2003;1022357;2.73%
Россия везде, где есть русские!;https://vk.com/russdem;42162154;1993;193874;2.72%
Это Россия, детка;https://vk.com/etorussiadetka;69518720;1991;2339839;2.72%
Суровый технарь;https://vk.com/brutalengineer;31969346;1982;307404;2.70%
Наука и Техника;https://vk.com/scienceo;126522090;1980;1127167;2.70%
Вооружение ( Оружие | Ножи | Армия );https://vk.com/vooruzheniye;86094486;1967;98767;2.68%
Факты Истории • Доисторические Цивилизации;https://vk.com/civilizatia;72100530;1958;498437;2.67%
Исторические очерки;https://vk.com/history_repeats;59740949;1944;276661;2.65%
Оружейный;https://vk.com/guns_best;147291147;1942;279383;2.65%
Война и Мир | Армия, оружие, техника;https://vk.com/voyna_i_mir;124582727;1906;132057;2.60%
Великая Отечественная война [ВОВ];https://vk.com/pomnim_voynu;154707792;1873;48138;2.55%
Армия России | Оружие | Факты | Геополитика;https://vk.com/ruarm;71138051;1826;107635;2.49%
Древний мир: история и факты;https://vk.com/drevnostmif;46381558;1822;224340;2.48%
Телеканал РОССИЯ 1;https://vk.com/russiatv;24371598;1821;1197797;2.48%
Оружейник;https://vk.com/gunsis;66933529;1820;184288;2.48%
Российская империя: история, факты, культура;https://vk.com/russianimp;44693766;1807;316295;2.46%
Вежливые Люди | Армия | Оружие;https://vk.com/zarus_war;75442025;1804;116006;2.46%
Армия / Оружие / СВО;https://vk.com/armyweaponswar;23168967;1772;224038;2.42%
Мир Российская Премьер-Лига;https://vk.com/rpl;51812607;1764;2275119;2.41%
Россия | Russian Federation;https://vk.com/cityrf;55354262;1711;174499;2.33%
Военная хроника;https://vk.com/voenhronika;38149536;1687;38656;2.30%
ПАТРИОТЫ РОССИИ;https://vk.com/russia.patriots;4144008;1677;217580;2.29%
Исторические и Интересные Факты;https://vk.com/fact_history;93952256;1673;191662;2.28%
Военное Информационное Агентство;https://vk.com/military_via;18060545;1649;24593;2.25%
Удивительные истории;https://vk.com/amazing_stories_public;51267957;1646;815078;2.24%
Наша страна Россия;https://vk.com/the.russian.federation;69547083;1626;742315;2.22%
История России и СССР;https://vk.com/sssrvk;176874212;1619;322614;2.21%
ГРАУ барахолка [военное снаряжение | страйкбол];https://vk.com/baraholka_graufr;59147204;1609;127625;2.19%
История России;https://vk.com/histmoment;123467559;1592;528191;2.17%
Авторские статьи на военную тематику;https://vk.com/other_weapons;23280004;1588;37465;2.17%
Момент истории;https://vk.com/history.moment;143826157;1580;1211689;2.15%
История России и СССР;https://vk.com/whchannel;162586006;1546;184317;2.11%
Военная тайна;https://vk.com/voennayatayna;83394495;1539;65470;2.10%
World HistoryIИстория в фото;https://vk.com/world_history_fhoto;27691569;1530;70873;2.09%
Космос | Наука | Технологии;https://vk.com/scietechspace;99353432;1528;548172;2.08%
Охота Оружие;https://vk.com/vkhunting;21301713;1517;228795;2.07%
220 Вольт | Инструменты и садовая техника;https://vk.com/likevolt;27570276;1498;447648;2.04%
Быть Военным - это Гордость;https://vk.com/homeguards;10863607;1489;74738;2.03%
Энциклопедия по военной технике;https://vk.com/warteh;157783005;1488;19191;2.03%
Russian Survival | Выживание | Оружие | Тактика;https://vk.com/rus_survival;74970069;1487;50030;2.03%
История Человечества;https://vk.com/smoegodvora;65566813;1477;242969;2.01%
История: Россия и мир;https://vk.com/ruhist;130360681;1465;165025;2.00%
Российская Газета;https://vk.com/rgru;23304496;1449;380299;1.98%
Страшные истории;https://vk.com/horror_tales;40529013;1448;2373900;1.97%
Оружие Мира;https://vk.com/weapons_over_the_world;32967845;1433;12318;1.95%
Российская Империя;https://vk.com/russianempire2015;90778346;1429;351026;1.95%
Армия России;https://vk.com/mil_russia;77428293;1428;63575;1.95%
Краткая История;https://vk.com/short.time;66972117;1424;858828;1.94%
АНТИТЕРРОР | Военные сводки «Z»;https://vk.com/rus_antiterror;103611704;1398;61840;1.91%
Наука и Техника;https://vk.com/sc.tech;84875607;1393;1054670;1.90%
РОССИЯ;https://vk.com/russia_grand;30825618;1391;135971;1.90%
