НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ
Engine Team;https://vk.com/engine_team;17549773;1558;11404;14.40%;13.66;;;;
ELECTRO-TECHNICAL OFFICER;https://vk.com/electrotechnicalofficer;144565980;1376;3879;12.72%;35.47;;;;
Танкерный флот / Tanker fleet;https://vk.com/tankernyj_flot;111255599;1182;22176;10.92%;май.33;;;;
Crewservices. Всё о работе в море;https://vk.com/crewservices_club;122499581;1100;15745;10.17%;июн.99;;;;
Вакансии для Моряков | Работа в Море CREWELL™;https://vk.com/crewell_net;48986883;889;15719;8.22%;май.66;;;;
Crew Hunter Maritime Agency;https://vk.com/crewhunterma;208567606;885;10406;8.18%;авг.50;;;;
ПАО «Совкомфлот»;https://vk.com/sovcomflotgroup;211802644;873;9896;8.07%;авг.82;;;;
А тем временем в море;https://vk.com/a_v_more;94642416;757;13662;7.00%;май.54;;;;
Ответы Морякам;https://vk.com/otvet_moryakam;64795647;693;8397;6.40%;авг.25;;;;
ОБЪЕДИНЕННОЕ МОРСКОЕ АГЕНТСТВО;https://vk.com/club163792384;163792384;685;7599;6.33%;09.янв;;;;
Крюинг агентство СТАФФ Марин/СТАФФ Менеджмент;https://vk.com/smcrewing;60585820;683;9641;6.31%;07.авг;;;;
All Crew LLC;https://vk.com/allcrewkaliningrad;165000572;615;7137;5.68%;авг.62;;;;
Seamanship | Искусство Мореплавания;https://vk.com/smspublic;44249040;607;18121;5.61%;мар.35;;;;
Северный путь/Нордвегр Калининград;https://vk.com/nordvegrltd;197747428;596;7753;5.51%;июл.69;;;;
Shiprecruit. Вакансии для моряков. Работа в море;https://vk.com/shiprecruit;55116650;569;14984;5.26%;мар.80;;;;
Шарапов Механик;https://vk.com/sharapovmechanik;176947689;569;4442;5.26%;дек.81;;;;
Мир глазами моряка;https://vk.com/sailors_world;212012780;523;5914;4.83%;авг.84;;;;
Работа для моряков - это Crewmarket.net;https://vk.com/crewmarket;52806209;518;17122;4.79%;03.мар;;;;
Работа в море для рядовых;https://vk.com/sea.jobs;163409785;512;8025;4.73%;июн.38;;;;
