НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Практическая психология;https://vk.com/psih_sovet;41538339;3799;2543053;9.93%
Идеи дизайна интерьера;https://vk.com/i_des;36184135;3646;6075591;9.53%
Психология отношений;https://vk.com/psy.people;40498005;3464;6499427;9.06%
Психология;https://vk.com/psyxov;55662720;3396;6214015;8.88%
Литература | Великие поэты;https://vk.com/poems;38683579;3142;6553036;8.22%
Шпильки | Женский Журнал;https://vk.com/woman.blog;29686754;3064;5002089;8.01%
ПСИХОЛОГИЯ;https://vk.com/badpsycho;31862851;2939;1578920;7.69%
Cook Good - лучшие рецепты;https://vk.com/cook_good;39009769;2745;6537535;7.18%
Food.ru — Главная кухня страны;https://vk.com/foodrumedia;32194285;2741;3907002;7.17%
Психология;https://vk.com/psyhologiaa;23611958;2715;1259922;7.10%
Science|Наука;https://vk.com/sci;29559271;2657;4443678;6.95%
Психология Души;https://vk.com/soul.psychology;54343520;2647;3053115;6.92%
Интерьер и декор;https://vk.com/vk_interior;90730773;2625;3517116;6.86%
Интеллектуальный юмор;https://vk.com/in.humour;28950133;2615;3370057;6.84%
Психология мыслей;https://vk.com/pro.psyx;62398004;2609;2661415;6.82%
Искусство реальности;https://vk.com/goodarts;26307864;2565;3138768;6.71%
Psychology|Психология;https://vk.com/sci_psy;30525261;2561;2334598;6.70%
Вдохновение.;https://vk.com/workart;25421850;2549;2611532;6.67%
Полезное образование | Интеллектуариум;https://vk.com/brain.journal;27797026;2516;2034439;6.58%
Школа ремонта;https://vk.com/rem_shkola;38379853;2494;3610208;6.52%
Новая Музыка 2023 | Слово Пацана Саундтреки;https://vk.com/exclusive_muzic;27895931;2474;15710234;6.47%
Шедевры кулинарии| Вкусные рецепты;https://vk.com/sh.cook;43879004;2392;5849286;6.26%
Идеи для творчества и подарков своими руками;https://vk.com/i_d_t;31805219;2376;2658788;6.21%
Фабрика идей;https://vk.com/hmideas;43772432;2347;3961848;6.14%
ОБРАЗ ЖИЗНИ|психология,отношения,общество|цитаты;https://vk.com/comotivation;439;2340;1635010;6.12%
Злой Психолог;https://vk.com/evil_psy;32223654;2328;246681;6.09%
