НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
ТЫ Ж ШВЕЯ!))) Шьем и вяжем, рукоделие;https://vk.com/club164367695;164367695;16946;222227;38.27%
Шкатулка - выкройки в PDF, мастер-классы, шитье;https://vk.com/materials_shkatulka;52976063;15500;359783;35.01%
Бесплатные выкройки для детей и взрослых;https://vk.com/free_patterns;135287543;14037;234129;31.70%
Выкройки от Кати Мхитарян;https://vk.com/vikroyki.besplatno;146904363;13008;214297;29.38%
Шитье  Выкройки;https://vk.com/sewing_needle;68029781;11511;744229;26.00%
Выкройки / Журнал Я Шью (Ya_Sew);https://vk.com/ya_sew;76741752;11393;212274;25.73%
Общение, готовые выкройки, шитье;https://vk.com/vykroyka196;130981688;11320;145036;25.57%
"Выкройки и МК Бесплатно Ателье - ""Самоучка""";https://vk.com/sewfromscratch;110679600;11179;214534;25.25%
Выкройки для шитья;https://vk.com/kids_patterns;80245944;10730;162172;24.23%
Швейная Мастерица (Бесплатные выкройки pdf);https://vk.com/shveinaya_massteritsa;142447302;10525;139410;23.77%
Журнал Burda;https://vk.com/burdamagazine;39734875;9705;527844;21.92%
ВЫКРОЙКИ СТИЛЬНОЙ ОДЕЖДЫ;https://vk.com/thestylishpatterns;142534360;8977;139375;20.27%
Я швея • Шитье и крой;https://vk.com/my_sewer;68138655;8839;273645;19.96%
Шитье мое - выкройки, рукоделие;https://vk.com/shitie_diy;91568679;8703;438025;19.65%
Своими руками (Творчество, Шитье, Выкройки);https://vk.com/fashion.freak;38966129;8668;794433;19.58%
Выкройки, кройка и шитье для начинающих;https://vk.com/pattern_sewing;97774742;8613;307803;19.45%
Уроки шитья ✂ Шитье и крой;https://vk.com/sewing_lessons;79143797;8546;343479;19.30%
GRASSER;https://vk.com/grasser_ru;44134525;8362;182466;18.88%
Шитье | Выкройки | Уроки шитья;https://vk.com/cutandsewing;20808227;8021;265141;18.11%
Кройка и шитье;https://vk.com/sewing_school;39502869;7910;487059;17.86%
СТАРТЕКС - ткани и фурнитура оптом.;https://vk.com/startexpro;82280579;7367;133380;16.64%
Шьём и учимся шить!;https://vk.com/sewandsewing;20721953;7360;225046;16.62%
Шитье деткам - выкройки, рукоделие;https://vk.com/sewing_kids;99370055;7356;271831;16.61%
Клуб любителей шитья Сезон;https://vk.com/cl_season;38585436;7113;113594;16.06%
Портной • Шитье, переделки - легко!;https://vk.com/my_tailor;62714186;7046;192102;15.91%
«ТЕКСТИЛИЯ» — модные ткани: розница, опт;https://vk.com/textiliya;72172864;7012;112522;15.84%
