НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
В помощь учителю ©;https://vk.com/to_help_the_teacher;154463779;19730;283473;34.47%
Я - классный руководитель!;https://vk.com/public_classroom_teacher;147635047;16427;175302;28.70%
ТЫ Ж УЧИТЕЛЬ!;https://vk.com/ty_uchitel;50496202;15699;214603;27.43%
Методичка для учителя v.2.0;https://vk.com/teacher_s_book2;193929958;15286;179846;26.71%
Убежище для учителя ©;https://vk.com/teacher_club21v;165208014;15038;229953;26.27%
Министерство просвещения Российской Федерации;https://vk.com/minprosvet;30558759;14272;608864;24.94%
ПОСЛЕ УРОКОВ: растём вместе!;https://vk.com/after_lessons;125875862;13966;194721;24.40%
Инфоурок;https://vk.com/infourok;147594250;12253;125830;21.41%
Учительский портал;https://vk.com/uchportal_ru;61048877;11886;82757;20.77%
В помощь учителю © | Школа;https://vk.com/to_help_the_teacher_school;167445937;11472;187597;20.04%
Дети в школе. Обучение и воспитание;https://vk.com/deti_v_shkole_345;136671439;11353;157454;19.84%
К УРОКУ ГОТОВА;https://vk.com/k_uroku_gotova;213141984;11337;84229;19.81%
Буковкин - для учителей, педагогов, родителей;https://vk.com/bykovkin_ru;151545012;11283;246558;19.71%
Форум классных руководителей;https://vk.com/vfkr_ru;204936543;10905;180021;19.05%
Учитель! Бери и пользуйся!;https://vk.com/easykateschool;166948938;10752;102471;18.79%
Типичный учебник;https://vk.com/typical.schoolbook;161288963;10750;171435;18.78%
IT Учительская;https://vk.com/ikt_vrn;206737446;10572;112767;18.47%
Типичный учитель | Авторские материалы;https://vk.com/typical.teacher;43982615;10249;272703;17.91%
В помощь учителю © | Дистанционная школа;https://vk.com/distance_school_help;193718431;9615;81201;16.80%
Сообщество учителей;https://vk.com/pedagog_rf;182303514;9607;56283;16.78%
УЧИТЕЛЬСКИЕ ФИШЕЧКИ;https://vk.com/club210921909;210921909;9585;86018;16.75%
Разговоры о важном;https://vk.com/razgovorovazhnom;217035115;9420;103961;16.46%
В помощь учителю © | Начальная школа;https://vk.com/teacher_elementary_school;188246765;9304;147688;16.26%
Родительский университет «Просвещения»;https://vk.com/prosv_parents;39656869;9054;133423;15.82%
Движение Первых;https://vk.com/mypervie;214524833;8637;810202;15.09%
ДЕТСКИЕ ПОДЕЛКИ;https://vk.com/dets_podelki;78339331;8629;1032362;15.08%
ДЕТСКИЕ ПОДЕЛКИ;https://vk.com/det_podelki;85462593;8453;1442955;14.77%
Разговоры о важном;https://vk.com/razgovoriovazhnom;218302958;8390;72028;14.66%
Педагог и наставник 2023;https://vk.com/gpn_2023;218878795;8315;81812;14.53%
ПОДЕЛКИ В ШКОЛУ;https://vk.com/podelki_v_shkolu;130900008;8297;618637;14.50%
Первое сентября;https://vk.com/digital.september;125321449;8248;34912;14.41%
Копилка идей для педагогов;https://vk.com/club209995003;209995003;8116;68730;14.18%
Завуч_Директор_Советник;https://vk.com/deputy_director;218008435;8090;90090;14.13%
все для работы учителя начальных классов;https://vk.com/nahalnay_schola;116498411;7969;77409;13.92%
Шаблоны для печати (file-shop.ru);https://vk.com/file_shop_ru;195979700;7831;109211;13.68%
ОБРАЗОВАТЕЛЬНОЕ ПРОСТРАНСТВО;https://vk.com/obrprostranstvo;176377855;7786;76899;13.60%
В стране выученных уроков | Начальная школа;https://vk.com/stranavu;153296449;7590;270212;13.26%
Академия Минпросвещения России;https://vk.com/minacademy;198655662;7574;92687;13.23%
Мои нескучные уроки. Начальная школа;https://vk.com/club211302020;211302020;7325;51236;12.80%
Я - Учитель начальной школы;https://vk.com/my_nachalka;163452472;7156;302497;12.50%
ПОДЕЛКИ ДЛЯ ДЕТЕЙ;https://vk.com/podelki_dlia_detei;108494535;7132;633616;12.46%
Копилка Педагога;https://vk.com/kopilka_pedagog;191943327;7123;183978;12.44%
Учитель, завуч, эксперт;https://vk.com/elvira__expert;210971317;6727;33901;11.75%
"Всероссийский портал ""Педсовет""";https://vk.com/vkpedsov;167494527;6668;203952;11.65%
Учу просто;https://vk.com/svetlana_svetmoy;213054441;6660;87569;11.64%
Педагоги поймут;https://vk.com/vk_pedagogam;155678335;6598;46732;11.53%
Сферум;https://vk.com/sferum;203504769;6582;516488;11.50%
ИКТ педагогам;https://vk.com/eduikt;148543862;6551;109769;11.45%
Поделки для детского сада и школы;https://vk.com/podelkiidei;67976283;6452;658565;11.27%
Шаблоны для печати;https://vk.com/shablonprint;212681570;6171;139380;10.78%
Знанио • образовательный портал;https://vk.com/znanioru;154159730;6136;52569;10.72%
Школа России обновленный ФГОС;https://vk.com/club215869517;215869517;6086;59117;10.63%
Образовательный журнал со вкусом;https://vk.com/life2hack;36047336;5981;1094987;10.45%
ПОДГОТОВКА К ШКОЛЕ - НАЧАЛЬНАЯ ШКОЛА;https://vk.com/schoolsadik;94063145;5967;157062;10.43%
ЖИВОЙ УЧИТЕЛЬ;https://vk.com/club211308266;211308266;5816;36143;10.16%
Крутой педагог-организатор: идеи,сценарии,досуг;https://vk.com/krutoypedorg;185032760;5756;53695;10.06%
Вау-урок. Идеи для урока @wow_urok;https://vk.com/wow_urok;213807895;5754;35355;10.05%
Убежище для учителя © | Начальная школа;https://vk.com/teacher_club21v2;205993182;5749;77937;10.04%
Я люблю русский язык!;https://vk.com/love_russian_language;39321576;5735;1406383;10.02%
абывролава;https://vk.com/club91650016;91650016;5682;170490;9.93%
Детские поделки для детей и родителей;https://vk.com/detskiye_podelki_dlya_detey;52969542;5578;413221;9.75%
ПОРТФЕЛЬ учителя начальных классов;https://vk.com/urokibezmoroki22;211126302;5531;41133;9.66%
Литература | Великие поэты;https://vk.com/poems;38683579;5513;6553048;9.63%
Воспитание или отчеты?;https://vk.com/club203095239;203095239;5476;31266;9.57%
Школьный праздник;https://vk.com/schoolcelebration;214558671;5456;47283;9.53%
Кабинет директора | Управление образованием;https://vk.com/cabinetdirector;210634821;5450;50078;9.52%
Профсоюз «УЧИТЕЛЬ»;https://vk.com/profsouz_uchitel;40374966;5383;36387;9.40%
СУНДУЧОК для воспитателей и  педагогов;https://vk.com/club_sunduk_ru;148734517;5362;361065;9.37%
Презентации к праздникам (PDF, PPTX, JPG);https://vk.com/pokaz_slajdov;210914870;5330;42017;9.31%
Поделки Идеи в детский сад и школу;https://vk.com/ideipodelki;67857328;5312;476722;9.28%
Цифровой учитель | PRO_ОБРАЗОВАНИЕ;https://vk.com/teacher_to_help;213531621;5207;28324;9.10%
Начальная школа | Педагогам и родителям;https://vk.com/pedschool;162650317;5178;61910;9.05%
Учитель Вера Фотеевна;https://vk.com/ychitel_vera;206938726;5039;60652;8.80%
Поделочка Поделки для детей;https://vk.com/detskie_podelky;113075826;4904;301545;8.57%
Привет, учитель!;https://vk.com/privet_uchitel;211226254;4880;24219;8.53%
Новая Музыка 2023 | Слово Пацана Саундтреки;https://vk.com/exclusive_muzic;27895931;4841;15710271;8.46%
Омбудсмен образования;https://vk.com/perfect_lawyer;133392204;4838;62950;8.45%
Юлия Захаркина о воспитании в школе;https://vk.com/zakharkina26;211446556;4834;25117;8.45%
Клуб Веселых Непосед- дошкольник,воспитатель.;https://vk.com/vk_club_neposed;117463599;4812;329279;8.41%
Большая перемена;https://vk.com/bpcontest;193258751;4776;568213;8.34%
Учитель с любовью к своей работе;https://vk.com/viktoriya.olegovna;210899319;4767;29247;8.33%
Учителя;https://vk.com/club212833993;212833993;4764;29216;8.32%
