НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ
Я - воспитатель;https://vk.com/yavosp;163432394;20116;407238;33.06%
ДОШКОЛЬНИК логопед воспитатель педагог дети;https://vk.com/doshkolnikru;55615958;17161;384761;28.20%
МААМ.ру для педагогов, воспитателей, родителей;https://vk.com/maam_vk;11512225;15854;344840;26.05%
ДЕТСКИЕ ПОДЕЛКИ;https://vk.com/det_podelki;85462593;15658;1442608;25.73%
СУНДУЧОК для воспитателей и  педагогов;https://vk.com/club_sunduk_ru;148734517;14767;360963;24.27%
ДЕТСКИЕ ПОДЕЛКИ;https://vk.com/dets_podelki;78339331;14388;1032079;23.64%
Клуб Веселых Непосед- дошкольник,воспитатель.;https://vk.com/vk_club_neposed;117463599;14059;329211;23.10%
Дошколёнок: Обучение и воспитание дошкольников.;https://vk.com/detskiysadmoscow;64154756;12891;210120;21.18%
ПОДЕЛКИ ДЛЯ ДЕТЕЙ;https://vk.com/podelki_dlia_detei;108494535;12494;633419;20.53%
Электронная методичка. Дошкольник.;https://vk.com/club184539866;184539866;11564;157094;19.00%
Поделки для детского сада и школы;https://vk.com/podelkiidei;67976283;11543;657704;18.97%
"Всероссийский портал ""Педсовет""";https://vk.com/vkpedsov;167494527;11506;203922;18.91%
Копилка Педагога;https://vk.com/kopilka_pedagog;191943327;11103;183881;18.25%
Время Знаний - для воспитателей и родителей;https://vk.com/vremya_znaniy;97546037;10964;140482;18.02%
Для мамочек и воспитателей ( дети и ДОУ );https://vk.com/deti_dou;72518747;10930;150848;17.96%
Всероссийский портал «Дошкольное образование»;https://vk.com/ddouu;185395766;10459;131837;17.19%
Детский сад;https://vk.com/superkinders;89134391;10414;586449;17.11%
ПОДГОТОВИШКА воспитатель дети детский сад;https://vk.com/podgotovishkaru;102254722;10067;170044;16.54%
Детские поделки для детей и родителей;https://vk.com/detskiye_podelki_dlya_detey;52969542;9888;413081;16.25%
ПАЛОЧКА - ВЫРУЧАЛОЧКА педагогам, воспитателям;https://vk.com/club175840060;175840060;9761;114740;16.04%
Поделочка Поделки для детей;https://vk.com/detskie_podelky;113075826;9665;301488;15.88%
ПОДЕЛКИ В ШКОЛУ;https://vk.com/podelki_v_shkolu;130900008;9566;618216;15.72%
Поделки Идеи в детский сад и школу;https://vk.com/ideipodelki;67857328;9127;476400;15.00%
Воспитатель детского сада;https://vk.com/samodelki_podelki;207175505;8880;107557;14.59%
Методичка воспитателя;https://vk.com/metodi4ka_vospitatelya;191330038;8800;83086;14.46%
ТИПИЧНЫЙ детский сад;https://vk.com/tipsad;190019682;8664;107344;14.24%
Белка Умелка;https://vk.com/podelkabelka;120374391;8561;489925;14.07%
БЕСЕДКА | Детский сад;https://vk.com/besedka_vos;206542316;8454;89883;13.89%
НЕСКУЧАЙКА для детей и родителей;https://vk.com/neskuchaica;145465582;8333;281292;13.69%
От рождения до школы;https://vk.com/club186517750;186517750;8204;81354;13.48%
ПОДЕЛКИ • Школа творчества для детей;https://vk.com/podelki_vk;55817470;7817;537859;12.85%
❁ ПЛАСТИЛИНКА ❁ Лепка и раскраски для детей;https://vk.com/plastilinraskraski;115417173;7631;234474;12.54%
ЗЛОЙ ВОСПИТАТЕЛЬ. Истории из жизни.;https://vk.com/zloyvospitatel;74316349;7394;49220;12.15%
Методическая копилка воспитателя;https://vk.com/kopilka_detsad;192615183;7333;74980;12.05%
Мама-солнышко;https://vk.com/sunmommy;128900315;7256;410911;11.92%
Шаблоны для печати;https://vk.com/shablonprint;212681570;7206;139163;11.84%
Для Воспитателя;https://vk.com/dlvospit;213251056;7031;84726;11.55%
Идеи для творчества и подарков своими руками;https://vk.com/i_d_t;31805219;6994;2658900;11.49%
Детские зимние поделки своими руками в сад;https://vk.com/detskie_podelki_svoimi_rukami;79557461;6928;299514;11.38%
Воспитатель ДОУ;https://vk.com/club81295566;81295566;6844;48626;11.25%
Новая Музыка 2023 | Слово Пацана Саундтреки;https://vk.com/exclusive_muzic;27895931;6788;15710984;11.15%
Конкурсы для детей и педагогов;https://vk.com/odarenost;46821402;6756;111517;11.10%
Копилка воспитателя;https://vk.com/kopilkadou;202839645;6499;58903;10.68%
Для оформления;https://vk.com/club212720190;212720190;6380;77645;10.48%
ИКТ педагогам;https://vk.com/eduikt;148543862;6344;109733;10.42%
Воспитателю.ру - Конкурсы и олимпиады;https://vk.com/vospitately_ru;90974282;6253;41674;10.28%
Методическая литература для работы в ДО;https://vk.com/club205185318;205185318;6219;59115;10.22%
Дом рукоделия. Handmade, дизайн и декор;https://vk.com/best.knitting;35822250;6181;1770420;10.16%
Детские поделки, семейное творчество для детей;https://vk.com/podelochk_idlya_detey;61084036;5914;234972;9.72%
С нами стыдно, зато весело!;https://vk.com/contact_fun;46466345;5903;4704214;9.70%
Лэпбуки в детский сад;https://vk.com/club167778158;167778158;5849;59392;9.61%
Мамина Радость;https://vk.com/kids_clubber;154320896;5844;469362;9.60%
Счастливый педагог;https://vk.com/luckyteacher;112449417;5765;69605;9.47%
Страничка воспитателя;https://vk.com/vospitatel1983;193820355;5763;37289;9.47%
Воспитатели. Учителя;https://vk.com/financeandlife;186013592;5698;42124;9.36%
Фабрика идей;https://vk.com/hmideas;43772432;5689;3961988;9.35%
Открытки Поздравления Пожелания С Днем Рождения;https://vk.com/fotomagic_su;28890647;5663;5320137;9.31%
Идеи дизайна интерьера;https://vk.com/i_des;36184135;5641;6075745;9.27%
Своими руками. Новинки;https://vk.com/srukakami;162413575;5639;2390024;9.27%
Нищева Н. В.;https://vk.com/doshped;82373093;5578;95920;9.17%
МАМА™;https://vk.com/love_mama;20249656;5561;2327268;9.14%
"ПОДЕЛКИ ДЕТСКИЕ от потешка мама ""Мой знайка""";https://vk.com/moyznayka;179285556;5478;131833;9.00%
Шедевры кулинарии| Вкусные рецепты;https://vk.com/sh.cook;43879004;5424;5849344;8.91%
ШАБЛОНЫ для печати;https://vk.com/club214618511;214618511;5305;74183;8.72%
ЭТИ ДЕТИ;https://vk.com/club50256515;50256515;5265;1278059;8.65%
Шпильки | Женский Журнал;https://vk.com/woman.blog;29686754;5261;5002189;8.65%
Cook Good - лучшие рецепты;https://vk.com/cook_good;39009769;5205;6537701;8.55%
Просто Вкусно;https://vk.com/prostovkusno_food;46117626;5194;3297744;8.54%
Занимательная мама;https://vk.com/zanimama;45956321;5134;300138;8.44%
ПОДГОТОВКА К ШКОЛЕ - НАЧАЛЬНАЯ ШКОЛА;https://vk.com/schoolsadik;94063145;5107;157026;8.39%
Мудрые родители. Семья. Дети;https://vk.com/m_roditeli;55387604;5002;1738524;8.22%
Академия творческих воспитателей;https://vk.com/vospitatel66;177772917;4946;50020;8.13%
Диана Пешкова | Dipeshkova | @dipeshkova;https://vk.com/dipeshkova;211338974;4932;152756;8.10%
УМНЫЕ КНИГИ родителю логопеду педагогу;https://vk.com/umnie_knizki;44155346;4913;292291;8.07%
Продвинутая мама;https://vk.com/pmmom;39733006;4902;1189837;8.06%
Психология отношений;https://vk.com/psy.people;40498005;4889;6499620;8.03%
ПОДЕЛКИ и РИСОВАНИЕ;https://vk.com/muljtiki;61766028;4878;355198;8.02%
Шедевры рукоделия;https://vk.com/h.made;43688579;4838;3846139;7.95%
Школа ремонта;https://vk.com/rem_shkola;38379853;4835;3610308;7.95%
ИДЕИ для творчества;https://vk.com/make_idea;68229174;4789;3231059;7.87%
Готовим дома: вкусно и просто;https://vk.com/vkucnie_recepti;40020627;4668;3765026;7.67%
ПочемуЧка - детям, родителям, педагогам;https://vk.com/pochemu4ka_ru;33951964;4651;62615;7.64%
На все руки;https://vk.com/navseruki;171193480;4649;2480036;7.64%
Мамин Дневник  Мама Дети  Семья;https://vk.com/mamindnevnik;50426550;4615;1178658;7.58%
Дизайн декор и интерьер;https://vk.com/designdecori;35059398;4611;1971517;7.58%
ДЕТСКИЕ ПОДЕЛКИ;https://vk.com/kidscraft_ru;165376500;4608;107450;7.57%
ВОСПИТАТЕЛЯМ В ПОМОЩЬ;https://vk.com/detsad_lifest;211364125;4546;34204;7.47%
Уютный декор для дома. Handmade и рукоделие;https://vk.com/soverwenstvo.decora;28587219;4532;1805640;7.45%
Простые рецепты;https://vk.com/prostocook;83935640;4495;3685439;7.39%
Буковкин - для учителей, педагогов, родителей;https://vk.com/bykovkin_ru;151545012;4470;246492;7.35%
Для мам;https://vk.com/dlya_mam;37086289;4445;1078194;7.30%
СОВУШКА;https://vk.com/kssovushka;93773680;4432;87525;7.28%
585 Золотой;https://vk.com/my585zolotoy;39513007;4376;2575286;7.19%
Стенд;https://vk.com/stend_oformlenie;205096765;4358;52190;7.16%
Воспитание детей с ОВЗ;https://vk.com/childrenspecial;156099732;4338;60143;7.13%
Плакаты, фотозоны, макеты;https://vk.com/vk_plakat;212882552;4332;71104;7.12%
Супердети;https://vk.com/superdeti.media;41511767;4279;1486602;7.03%
Идеи вашего дома;https://vk.com/homeideaz;32439535;4225;3685713;6.94%
Клуб Молодых Мам (КММ);https://vk.com/mama.club;35232329;4186;2199743;6.88%
ДЕТИ В ФОКУСЕ;https://vk.com/detivphokuse;53512893;4154;988635;6.83%
